pathogen	strain	composition	shape_np	coating	coating_n	mono_poly	molar_mass	molar_volumes	electronegativities	polarizabilities	size_np	time	references	f(n,c,j,s)obs	concentration	biological_activity
Escherichia coli	ATCC25922	SiO2	Spherical	DMA	Single	Monomer	60.080	13.367	2.927	2.329	98.5	18	Langmuir 2012; 28 (20) 7646–7656	0	MIC (uM)	16644.47
Escherichia coli	ATCC25922	SiO2	Spherical	DMA	Single	Monomer	60.080	13.367	2.927	2.329	98.5	18	Langmuir 2012; 28 (20) 7646–7656	0	MIC (uM)	16644.47
Escherichia coli	ATCC25922	SiO2	Spherical	DMA	Single	Monomer	60.080	13.367	2.927	2.329	98.5	18	Langmuir 2012; 28 (20) 7646–7656	0	MIC (uM)	16644.47
Escherichia coli	ATCC25922	SiO2	Spherical	DMA	Single	Monomer	60.080	13.367	2.927	2.329	98.5	18	Langmuir 2012; 28 (20) 7646–7656	0	MIC (uM)	16644.47
Escherichia coli	ATCC25922	SiO2	Spherical	DMA	Single	Monomer	60.080	13.367	2.927	2.329	98.5	18	Langmuir 2012; 28 (20) 7646–7656	0	MIC (uM)	16644.47
Escherichia coli	ATCC25922	SiO2	Spherical	DMA	Single	Monomer	60.080	13.367	2.927	2.329	98.5	18	Langmuir 2012; 28 (20) 7646–7656	0	MIC (uM)	16644.47
Escherichia coli	ATCC25922	SiO2	Spherical	DMA	Single	Monomer	60.080	13.367	2.927	2.329	98.5	18	Langmuir 2012; 28 (20) 7646–7656	0	MIC (uM)	16644.47
Escherichia coli	ATCC25922	SiO2	Spherical	DMA	Single	Monomer	60.080	13.367	2.927	2.329	98.5	18	Langmuir 2012; 28 (20) 7646–7656	0	MIC (uM)	16644.47
Escherichia coli	ATCC25922	SiO2	Spherical	DMA	Single	Monomer	60.080	13.367	2.927	2.329	98.5	18	Langmuir 2012; 28 (20) 7646–7656	0	MIC (uM)	16644.47
Escherichia coli	ATCC25922	SiO2	Spherical	DMA	Single	Monomer	60.080	13.367	2.927	2.329	98.5	18	Langmuir 2012; 28 (20) 7646–7656	0	MIC (uM)	16644.47
Escherichia coli	ATCC25922	SiO2	Spherical	DMA	Single	Monomer	60.080	13.367	2.927	2.329	98.5	18	Langmuir 2012; 28 (20) 7646–7656	0	MIC (uM)	16644.47
